ix,NbCas,DC
0,2,0
1,1,0
2,0,0
3,0,0
4,1,0
5,1,0
6,0,0
7,0,0
8,1,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,5,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,1,0
23,0,1
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,2,0
33,4,0
34,20,1
35,19,0
36,43,0
37,30,0
38,61,0
39,13,1
40,81,1
41,92,0
42,276,2
43,296,3
44,177,2
45,286,8
46,372,6
47,497,8
48,595,15
49,788,13
50,813,18
51,946,12
52,1222,36
53,1085,21
54,1404,27
55,1861,89
56,1630,108
57,1676,78
58,1717,112
59,3856,112
60,2430,186
61,2929,240
62,3922,231
63,3809,365
64,4611,299
65,2599,319
66,4376,292
67,7578,418
68,15796,499
69,3609,509
70,6813,1355
71,5697,1120
72,2618,1053
73,4979,518
74,5864,833
75,5798,1417
76,6238,541
77,6068,1341
78,4573,987
79,452,635
80,3665,561
81,5955,574
82,3217,762
83,12590,1438
84,1909,753
85,3824,761
86,1101,642
87,2489,395
88,490,547
89,2177,531
90,490,544
91,133,516
92,1643,389
93,1660,369
94,612,242
95,326,437
96,69,367
97,1070,427
98,758,289
99,168,218
100,1050,166
101,297,135
102,769,306
103,1089,330
104,3640,278
105,600,178
106,1288,243
107,579,80
