ville,id_zone,code_grand_quartier,code_iris,nom_quartier,piece,epoque,meuble,annee,ref,min,max
PARIS,2,7510101,,St-Germain-l'Auxerrois,1,Avant 1946,0,2015,30.3,21.2,36.4
PARIS,2,7510101,,St-Germain-l'Auxerrois,1,Avant 1946,0,2016,30.5,21.35,36.6
PARIS,2,7510101,,St-Germain-l'Auxerrois,1,Avant 1946,0,2017,30.6,21.4,36.7
PARIS,2,7510101,,St-Germain-l'Auxerrois,1,Avant 1946,1,2015,33.6,23.5,40.3
PARIS,2,7510101,,St-Germain-l'Auxerrois,1,Avant 1946,1,2016,34.2,23.94,41.04
PARIS,2,7510101,,St-Germain-l'Auxerrois,1,Avant 1946,1,2017,34.3,24,41.2
PARIS,2,7510101,,St-Germain-l'Auxerrois,1,1946-1970,0,2015,31.4,22,37.7
PARIS,2,7510101,,St-Germain-l'Auxerrois,1,1946-1970,0,2016,31.5,22.05,37.8
PARIS,2,7510101,,St-Germain-l'Auxerrois,1,1946-1970,0,2017,31.9,22.3,38.3
PARIS,2,7510101,,St-Germain-l'Auxerrois,1,1946-1970,1,2015,34.9,24.4,41.9
PARIS,2,7510101,,St-Germain-l'Auxerrois,1,1946-1970,1,2016,35.3,24.71,42.36
PARIS,2,7510101,,St-Germain-l'Auxerrois,1,1946-1970,1,2017,35.7,25,42.8
PARIS,2,7510101,,St-Germain-l'Auxerrois,1,1971-1990,0,2015,27.3,19.1,32.8
PARIS,2,7510101,,St-Germain-l'Auxerrois,1,1971-1990,0,2016,27,18.9,32.4
PARIS,2,7510101,,St-Germain-l'Auxerrois,1,1971-1990,0,2017,27.1,19,32.5
PARIS,2,7510101,,St-Germain-l'Auxerrois,1,1971-1990,1,2015,30.3,21.2,36.4
PARIS,2,7510101,,St-Germain-l'Auxerrois,1,1971-1990,1,2016,30.2,21.14,36.24
PARIS,2,7510101,,St-Germain-l'Auxerrois,1,1971-1990,1,2017,30.4,21.3,36.5
PARIS,2,7510101,,St-Germain-l'Auxerrois,1,Apres 1990,0,2015,30.3,21.2,36.4
PARIS,2,7510101,,St-Germain-l'Auxerrois,1,Apres 1990,0,2016,30.4,21.28,36.48
PARIS,2,7510101,,St-Germain-l'Auxerrois,1,Apres 1990,0,2017,30.6,21.4,36.7
PARIS,2,7510101,,St-Germain-l'Auxerrois,1,Apres 1990,1,2015,33.6,23.5,40.3
PARIS,2,7510101,,St-Germain-l'Auxerrois,1,Apres 1990,1,2016,34,23.8,40.8
PARIS,2,7510101,,St-Germain-l'Auxerrois,1,Apres 1990,1,2017,34.3,24,41.2
PARIS,2,7510101,,St-Germain-l'Auxerrois,2,Avant 1946,0,2015,26.5,18.6,31.8
PARIS,2,7510101,,St-Germain-l'Auxerrois,2,Avant 1946,0,2016,26.6,18.62,31.92
PARIS,2,7510101,,St-Germain-l'Auxerrois,2,Avant 1946,0,2017,27.2,19,32.6
PARIS,2,7510101,,St-Germain-l'Auxerrois,2,Avant 1946,1,2015,29.4,20.6,35.3
PARIS,2,7510101,,St-Germain-l'Auxerrois,2,Avant 1946,1,2016,29.8,20.86,35.76
PARIS,2,7510101,,St-Germain-l'Auxerrois,2,Avant 1946,1,2017,30.5,21.4,36.6
PARIS,2,7510101,,St-Germain-l'Auxerrois,2,1946-1970,0,2015,25.8,18.1,31
PARIS,2,7510101,,St-Germain-l'Auxerrois,2,1946-1970,0,2016,26.1,18.27,31.32
PARIS,2,7510101,,St-Germain-l'Auxerrois,2,1946-1970,0,2017,26.5,18.6,31.8
PARIS,2,7510101,,St-Germain-l'Auxerrois,2,1946-1970,1,2015,28.6,20,34.3
PARIS,2,7510101,,St-Germain-l'Auxerrois,2,1946-1970,1,2016,29.2,20.44,35.04
PARIS,2,7510101,,St-Germain-l'Auxerrois,2,1946-1970,1,2017,29.7,20.8,35.6
PARIS,2,7510101,,St-Germain-l'Auxerrois,2,1971-1990,0,2015,24.7,17.3,29.6
PARIS,2,7510101,,St-Germain-l'Auxerrois,2,1971-1990,0,2016,24.8,17.36,29.76
PARIS,2,7510101,,St-Germain-l'Auxerrois,2,1971-1990,0,2017,25.4,17.8,30.5
PARIS,2,7510101,,St-Germain-l'Auxerrois,2,1971-1990,1,2015,27.4,19.2,32.9
PARIS,2,7510101,,St-Germain-l'Auxerrois,2,1971-1990,1,2016,27.8,19.46,33.36
