T,AT,VT,AM,VM
0,1,-62.96996489,1,-62.96996489
1,1.2,-58.32584316,1.2,-58.32584316
2,1.4,-53.65839188,1.4,-53.65839188
3,1.6,-48.96947795,1.6,-48.96947795
4,1.8,-44.26097688,1.8,-44.26097688
5,2,-39.53477201,2,-39.53477201
6,2.2,-34.79275377,2.2,-34.79275377
7,2.4,-30.03681888,2.4,-30.03681888
8,2.6,-25.26886967,2.6,-25.26886967
9,2.8,-20.49081324,2.8,-20.49081324
10,3,-15.70456077,3,-15.70456077
11,3.2,-10.91202668,3.2,-10.91202668
12,3.4,-6.115127919,3.4,-6.115127919
13,3.6,-1.315783193,3.6,-1.315783193
14,3.8,3.484087828,3.8,3.484087828
15,4,8.282565261,4,8.282565261
16,4.2,13.07772978,4.2,13.07772978
17,4.4,17.86766338,4.4,17.86766338
18,4.6,22.65045015,4.6,22.65045015
19,4.8,27.42417705,4.8,27.42417705
20,5,32.18693463,5,32.18693463
21,5.2,36.93681788,5.2,36.93681788
22,5.4,41.67192689,5.4,41.67192689
23,5.6,46.39036768,5.6,46.39036768
24,5.8,51.09025295,5.8,51.09025295
25,6,55.7697028,6,55.7697028
26,6.2,60.42684551,6.2,60.42684551
27,6.4,65.05981828,6.4,65.05981828
28,6.6,69.666768,6.6,69.666768
29,6.8,74.24585194,6.8,74.24585194
30,7,78.79523852,7,78.79523852
31,7.2,83.31310807,7.2,83.31310807
32,7.4,87.79765348,7.4,87.79765348
33,7.6,92.247081,7.6,92.247081
34,7.8,96.65961091,7.8,96.65961091
35,8,101.0334783,8,101.0334783
36,8.2,105.3669336,8.2,105.3669336
37,8.4,109.6582435,8.4,109.6582435
38,8.6,113.9056917,8.6,113.9056917
39,8.8,118.107579,8.8,118.107579
40,9,122.2622249,9,122.2622249
41,9.2,126.3679675,9.2,126.3679675
42,9.4,130.4231647,9.4,130.4231647
43,9.6,134.4261943,9.6,134.4261943
44,9.8,138.3754552,9.8,138.3754552
45,10,142.2693678,10,142.2693678
46,10.2,146.1063745,10.2,146.1063745
47,10.4,149.8849407,10.4,149.8849407
48,10.6,153.6035548,10.6,153.6035548
49,10.8,157.2607296,10.8,157.2607296
50,11,160.8550022,11,160.8550022
51,11.2,164.3849349,11.2,150
52,11.4,167.8491159,11.4,140
53,11.6,171.2461594,11.6,220
54,11.8,174.5747068,11.8,210
55,12,177.8334266,12,177.8334266
56,12.2,181.0210154,12.2,181.0210154
57,12.4,184.1361982,12.4,184.1361982
58,12.6,187.177729,12.6,187.177729
59,12.8,190.1443912,12.8,190.1443912
60,13,193.0349982,13,193.0349982
61,13.2,195.8483937,13.2,195.8483937
62,13.4,198.5834525,13.4,198.5834525
63,13.6,201.2390806,13.6,50
64,13.8,203.8142157,13.8,203.8142157
65,14,206.3078279,14,206.3078279
66,14.2,208.7189196,14.2,208.7189196
67,14.4,211.0465266,14.4,211.0465266
68,14.6,213.2897178,14.6,213.2897178
69,14.8,215.4475959,14.8,215.4475959
70,15,217.5192979,15,217.5192979
71,15.2,219.5039951,15.2,219.5039951
72,15.4,221.4008936,15.4,221.4008936
73,15.6,223.2092346,15.6,223.2092346
74,15.8,224.928295,15.8,224.928295
75,16,226.5573871,16,226.5573871
76,16.2,228.0958592,16.2,228.0958592
77,16.4,229.543096,16.4,229.543096
78,16.6,230.8985186,16.6,230.8985186
79,16.8,232.1615849,16.8,232.1615849
80,17,233.3317897,17,233.3317897
81,17.2,234.4086648,17.2,234.4086648
82,17.4,235.3917797,17.4,235.3917797
83,17.6,236.2807409,17.6,236.2807409
84,17.8,237.075193,17.8,237.075193
85,18,237.7748182,18,237.7748182
86,18.2,238.3793366,18.2,238.3793366
87,18.4,238.8885065,18.4,238.8885065
88,18.6,239.3021241,18.6,239.3021241
89,18.8,239.6200241,18.8,239.6200241
90,19,239.8420793,19,239.8420793
91,19.2,239.9682008,19.2,239.9682008
92,19.4,239.9983383,19.4,239.9983383
93,19.6,239.9324796,19.6,239.9324796
94,19.8,239.7706512,19.8,239.7706512
95,20,239.5129176,20,239.5129176
96,20.2,239.1593821,20.2,239.1593821
97,20.4,238.7101861,20.4,238.7101861
98,20.6,238.1655091,20.6,238.1655091
99,20.8,237.5255691,20.8,237.5255691
100,21,236.7906221,21,236.7906221
101,21.2,235.960962,21.2,235.960962
102,21.4,235.0369206,21.4,235.0369206
103,21.6,234.0188676,21.6,234.0188676
104,21.8,232.9072101,21.8,232.9072101
105,22,231.7023929,18,150
106,22.2,230.4048978,19,160
107,22.4,229.0152439,22.4,229.0152439
108,22.6,227.5339868,22.6,227.5339868
109,22.8,225.9617193,22.8,225.9617193
110,23,224.29907,23,224.29907
111,23.2,222.5467041,23.2,222.5467041
112,23.4,220.7053225,23.4,220.7053225
113,23.6,218.7756617,23.6,218.7756617
114,23.8,216.7584936,23.8,216.7584936
115,24,214.654625,24,214.654625
116,24.2,212.4648973,24.2,212.4648973
117,24.4,210.1901866,24.4,210.1901866
118,24.6,207.8314025,24.6,207.8314025
119,24.8,205.3894887,24.8,205.3894887
120,25,202.8654218,25,202.8654218
121,25.2,200.2602115,25.2,200.2602115
122,25.4,197.5748997,25.4,197.5748997
123,25.6,194.8105607,25.6,194.8105607
124,25.8,191.9682999,25.8,191.9682999
125,26,189.0492545,26,189.0492545
126,26.2,186.0545918,26.2,186.0545918
127,26.4,182.9855098,26.4,182.9855098
128,26.6,179.8432361,26.6,179.8432361
129,26.8,176.6290274,26.8,176.6290274
130,27,173.3441695,27,173.3441695
131,27.2,169.9899762,27.2,169.9899762
132,27.4,166.5677892,27.4,166.5677892
133,27.6,163.0789773,27.6,163.0789773
134,27.8,159.524936,27.8,159.524936
135,28,155.9070868,28,155.9070868
136,28.2,152.2268769,28.2,152.2268769
137,28.4,148.4857782,28.4,148.4857782
138,28.6,144.6852873,28.6,144.6852873
139,28.8,140.8269241,28.8,140.8269241
140,29,136.9122321,29,136.9122321
141,29.2,132.942777,29.2,132.942777
142,29.4,128.9201465,10,128.9201465
143,29.6,124.8459497,11,124.8459497
144,29.8,120.7218162,12,120.7218162
145,30,116.5493956,13,116.5493956
146,30.2,112.3303567,14,112.3303567
147,30.4,108.0663873,30.4,108.0663873
148,30.6,103.7591927,30.6,103.7591927
149,30.8,99.4104958,30.8,99.4104958
150,31,95.02203604,31,95.02203604
151,31.2,90.59556874,31.2,90.59556874
152,31.4,86.13286442,31.4,86.13286442
153,31.6,81.6357081,31.6,81.6357081
154,31.8,77.10589858,31.8,77.10589858
155,32,72.54524774,32,72.54524774
156,32.2,67.95557976,32.2,67.95557976
157,32.4,63.33873046,32.4,63.33873046
158,32.6,58.6965465,32.6,58.6965465
159,32.8,54.03088472,32.8,54.03088472
160,33,49.3436113,33,49.3436113
161,33.2,44.63660109,33.2,44.63660109
162,33.4,39.91173684,33.4,39.91173684
163,33.6,35.17090842,33.6,35.17090842
164,33.8,30.41601211,33.8,30.41601211
165,34,25.6489498,34,25.6489498
166,34.2,20.87162826,34.2,20.87162826
167,34.4,16.08595834,34.4,16.08595834
168,34.6,11.29385425,34.6,11.29385425
169,34.8,6.497232766,34.8,6.497232766
170,35,1.69801248,35,1.69801248
171,35.2,-3.101886989,35.2,-3.101886989
172,35.4,-7.900545744,35.4,-7.900545744
173,35.6,-12.69604439,35.6,-12.69604439
174,35.8,-17.48646478,35.8,-17.48646478
175,36,-22.26989082,36,-22.26989082
176,36.2,-27.0444092,36.2,-27.0444092
177,36.4,-31.80811018,36.4,-31.80811018
178,36.6,-36.55908834,36.6,-36.55908834
179,36.8,-41.29544335,36.8,-41.29544335
180,37,-46.01528074,37,-46.01528074
181,37.2,-50.71671262,37.2,-50.71671262
182,37.4,-55.3978585,37.4,-55.3978585
183,37.6,-60.05684597,37.6,-60.05684597
184,37.8,-64.6918115,37.8,-64.6918115
185,38,-69.30090118,38,-69.30090118
186,38.2,-73.88227141,38.2,-73.88227141
187,38.4,-78.43408972,38.4,-78.43408972
188,38.6,-82.95453545,38.6,-82.95453545
189,38.8,-87.44180046,38.8,-87.44180046
190,39,-91.89408992,39,-91.89408992
191,39.2,-96.30962297,39.2,-96.30962297
192,39.4,-100.6866335,39.4,-100.6866335
193,39.6,-105.0233706,39.6,-105.0233706
194,39.8,-109.3180998,39.8,-109.3180998
195,40,-113.5691033,40,-113.5691033
196,40.2,-117.7746806,40.2,-117.7746806
197,40.4,-121.9331496,40.4,-121.9331496
198,40.6,-126.042847,40.6,-126.042847
199,40.8,-130.1021289,40.8,-130.1021289
200,41,-134.1093717,41,-134.1093717
201,41.2,-138.0629726,41.2,-138.0629726
202,41.4,-141.9613501,41.4,-141.9613501
203,41.6,-145.8029449,41.6,-145.8029449
204,41.8,-149.5862205,41.8,-149.5862205
205,42,-153.3096636,42,-153.3096636
206,42.2,-156.9717849,42.2,-156.9717849
207,42.4,-160.5711196,42.4,-160.5711196
208,42.6,-164.106228,42.6,-164.106228
209,42.8,-167.5756961,42.8,-167.5756961
210,43,-170.9781361,43,-170.9781361
211,43.2,-174.3121871,43.2,-174.3121871
212,43.4,-177.5765156,43.4,-177.5765156
213,43.6,-180.7698159,43.6,-180.7698159
214,43.8,-183.8908106,43.8,-183.8908106
215,44,-186.9382515,44,-186.9382515
216,44.2,-189.9109196,44.2,-189.9109196
217,44.4,-192.8076258,44.4,-192.8076258
218,44.6,-195.6272115,44.6,-195.6272115
219,44.8,-198.368549,44.8,-198.368549
220,45,-201.0305417,45,-201.0305417
221,45.2,-203.6121249,45.2,-203.6121249
222,45.4,-206.1122659,45.4,-206.1122659
223,45.6,-208.5299648,45.6,-208.5299648
224,45.8,-210.8642544,45.8,-210.8642544
225,46,-213.1142012,46,-213.1142012
226,46.2,-215.2789051,46.2,-215.2789051
227,46.4,-217.3575004,46.4,-217.3575004
228,46.6,-219.3491555,46.6,-219.3491555
229,46.8,-221.2530739,46.8,-221.2530739
230,47,-223.068494,47,-223.068494
231,47.2,-224.7946897,47.2,-224.7946897
232,47.4,-226.4309706,47.4,-226.4309706
233,47.6,-227.976682,47.6,-227.976682
234,47.8,-229.4312058,47.8,-229.4312058
235,48,-230.7939602,48,-230.7939602
236,48.2,-232.0644001,48.2,-232.0644001
237,48.4,-233.2420173,48.4,-233.2420173
238,48.6,-234.3263408,48.6,-234.3263408
239,48.8,-235.316937,48.8,-235.316937
240,49,-236.2134094,49,-236.2134094
241,49.2,-237.0153997,49.2,-237.0153997
242,49.4,-237.722587,49.4,-237.722587
243,49.6,-238.3346883,49.6,-238.3346883
244,49.8,-238.851459,49.8,-238.851459
245,50,-239.2726923,50,-239.2726923
246,50.2,-239.5982198,50.2,-239.5982198
247,50.4,-239.8279111,50.4,-239.8279111
248,50.6,-239.9616744,50.6,-239.9616744
249,50.8,-239.9994563,50.8,-239.9994563
250,51,-239.9412416,51,-239.9412416
251,51.2,-239.7870536,51.2,-239.7870536
252,51.4,-239.536954,51.4,-239.536954
253,51.6,-239.1910428,51.6,-239.1910428
254,51.8,-238.7494583,51.8,-238.7494583
255,52,-238.2123773,52,-238.2123773
256,52.2,-237.5800145,52.2,-237.5800145
257,52.4,-236.8526228,52.4,-236.8526228
258,52.6,-236.0304933,52.6,-236.0304933
259,52.8,-235.1139547,52.8,-235.1139547
260,53,-234.1033737,53,-234.1033737
261,53.2,-232.9991544,53.2,-232.9991544
262,53.4,-231.8017386,53.4,-231.8017386
263,53.6,-230.5116051,53.6,-230.5116051
264,53.8,-229.1292701,53.8,-229.1292701
265,54,-227.6552865,54,-227.6552865
266,54.2,-226.0902438,54.2,-226.0902438
267,54.4,-224.434768,54.4,-224.434768
268,54.6,-222.6895212,54.6,-222.6895212
269,54.8,-220.8552017,54.8,-220.8552017
270,55,-218.932543,55,-218.932543
271,55.2,-216.9223142,55.2,-216.9223142
272,55.4,-214.8253193,55.4,-214.8253193
273,55.6,-212.6423972,55.6,-212.6423972
274,55.8,-210.374421,55.8,-210.374421
275,56,-208.0222978,56,-208.0222978
276,56.2,-205.5869685,56.2,-205.5869685
277,56.4,-203.0694071,56.4,-203.0694071
278,56.6,-200.4706207,56.6,-200.4706207
279,56.8,-197.7916487,56.8,-197.7916487
280,57,-195.0335627,57,-195.0335627
281,57.2,-192.1974658,57.2,-192.1974658
282,57.4,-189.2844925,57.4,-189.2844925
